70	U+1F633	😳	flushed face
71	U+1F97A	🥺	⊛ pleading face
72	U+1F626	😦	frowning face with open mouth
73	U+1F627	😧	anguished face
74	U+1F628	😨	fearful face
75	U+1F630	😰	anxious face with sweat
76	U+1F625	😥	sad but relieved face
77	U+1F622	😢	crying face
78	U+1F62D	😭	loudly crying face
79	U+1F631	😱	face screaming in fear
80	U+1F616	😖	confounded face
81	U+1F623	😣	persevering face
82	U+1F61E	😞	disappointed face
83	U+1F613	😓	downcast face with sweat
84	U+1F629	😩	weary face
85	U+1F62B	😫	tired face
86	U+1F624	😤	face with steam from nose
87	U+1F621	😡	pouting face
88	U+1F620	😠	angry face
89	U+1F92C	🤬	face with symbols on mouth
90	U+1F608	😈	smiling face with horns
91	U+1F47F	👿	angry face with horns
92	U+1F480	💀	skull
93	U+2620	☠	skull and crossbones
94	U+1F4A9	💩	pile of poo
95	U+1F921	🤡	clown face
96	U+1F479	👹	ogre
97	U+1F47A	👺	goblin
98	U+1F47B	👻	ghost
99	U+1F47D	👽	alien
100	U+1F47E	👾	alien monster
101	U+1F916	🤖	robot
102	U+1F63A	😺	grinning cat
103	U+1F638	😸	grinning cat with smiling eyes
104	U+1F639	😹	cat with tears of joy
105	U+1F63B	😻	smiling cat with heart-eyes
106	U+1F63C	😼	cat with wry smile
107	U+1F63D	😽	kissing cat
108	U+1F640	🙀	weary cat
109	U+1F63F	😿	crying cat
110	U+1F63E	😾	pouting cat
111	U+1F648	🙈	see-no-evil monkey
112	U+1F649	🙉	hear-no-evil monkey
113	U+1F64A	🙊	speak-no-evil monkey
114	U+1F48B	💋	kiss mark
115	U+1F48C	💌	love letter
116	U+1F498	💘	heart with arrow
117	U+1F49D	💝	heart with ribbon
118	U+1F496	💖	sparkling heart
119	U+1F497	💗	growing heart
120	U+1F493	💓	beating heart
121	U+1F49E	💞	revolving hearts
122	U+1F495	💕	two hearts
123	U+1F49F	💟	heart decoration
124	U+2763	❣	heart exclamation
125	U+1F494	💔	broken heart
126	U+2764	❤	red heart
127	U+1F9E1	🧡	orange heart
128	U+1F49B	💛	yellow heart
129	U+1F49A	💚	green heart
130	U+1F499	💙	blue heart
